mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.035083134969075,0.018503411146659262,0.0941177209218343,0.0037403675494255884,0.5,0.01,5,100,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.0,0.0,0.0,0.0,0.0,317
3.954061190287272,0.02712212366494752,0.10214638710021973,0.007819175184676895,0.5,0.01,5,100,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.25,0.05,0.02564102564102564,0.10854700854700855,0.10051550958668136,309
3.7356488704681396,0.013556881198824295,0.09651867548624675,0.004182263727706715,0.5,0.01,5,100,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.325,0.075,0.10256410256410256,0.1675213675213675,0.11192135543331679,305
5.5272267659505205,0.0783244595992831,0.16631404558817545,0.004186185586224886,0.5,0.01,5,300,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 0.5}",0.55,0.65,0.46153846153846156,0.553846153846154,0.07698715280001245,285
2.468081076939901,0.12268252832219217,0.18407305081685385,0.015189535978461403,0.5,0.01,5,300,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.6,0.675,0.5384615384615384,0.6044871794871794,0.05583182458440176,214
1.5706774393717449,0.10753086032938179,0.20112212498982748,0.005336405426640464,0.5,0.01,5,300,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.575,0.675,0.5384615384615384,0.5961538461538461,0.057713671258191705,236
3.7663952509562173,0.21449424508846632,0.25303928057352704,0.02053543934586949,0.5,0.01,5,500,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 500, 'model__subsample': 0.5}",0.6,0.675,0.5897435897435898,0.6215811965811966,0.03800416562132389,153
3.54463783899943,0.25045004793471726,0.26633501052856445,0.012005970252952837,0.5,0.01,5,500,0.8,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 500, 'model__subsample': 0.8}",0.625,0.675,0.5897435897435898,0.6299145299145299,0.03497883479727841,119
2.5499559243520102,0.3113993982183666,0.2624758879343669,0.0037444065082717997,0.5,0.01,5,500,1.0,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.6,0.675,0.6153846153846154,0.6301282051282051,0.03234480977318686,94
0.8414181073506674,0.003397120449027923,0.07986632982889812,0.0025526385154155786,0.5,0.01,8,100,0.5,"{'model__colsample_bytree': 0.5, 'model__learning_rate': 0.01, 'model__max_depth': 8, 'model__n_estimators': 100, 'model__subsample': 0.5}",0.0,0.0,0.0,0.0,0.0,317
